[2026-06-06 19:07:24.804] [INIT].... → Crawl4AI 0.8.7 
[2026-06-06 19:07:28.920] [FETCH]... ↓ https://yandex.ru/maps/213/moscow/?ll=37.617700,...товых, 1, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 4.06s 
[2026-06-06 19:07:29.055] [SCRAPE].. ◆ https://yandex.ru/maps/213/moscow/?ll=37.617700,...товых, 1, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 0.13s 
[2026-06-06 19:07:29.182] [COMPLETE] ● https://yandex.ru/maps/213/moscow/?ll=37.617700,...товых, 1, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 4.33s 
[2026-06-06 19:07:32.529] [FETCH]... ↓ https://yandex.ru/maps/213/moscow/?ll=37.617700,...товых, 1, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 2.99s 
[2026-06-06 19:07:32.617] [SCRAPE].. ◆ https://yandex.ru/maps/213/moscow/?ll=37.617700,...товых, 1, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 0.08s 
[2026-06-06 19:07:32.710] [COMPLETE] ● https://yandex.ru/maps/213/moscow/?ll=37.617700,...товых, 1, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 3.17s 
[2026-06-06 19:07:35.733] [FETCH]... ↓ https://yandex.ru/maps/213/moscow/?ll=37.617700,...л., 2/32, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 2.72s 
[2026-06-06 19:07:35.794] [SCRAPE].. ◆ https://yandex.ru/maps/213/moscow/?ll=37.617700,...л., 2/32, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 0.06s 
[2026-06-06 19:07:35.872] [COMPLETE] ● https://yandex.ru/maps/213/moscow/?ll=37.617700,...л., 2/32, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 2.86s 
[2026-06-06 19:07:39.201] [FETCH]... ↓ https://yandex.ru/maps/213/moscow/?ll=37.617700,...л., 2/32, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 3.03s 
[2026-06-06 19:07:39.296] [SCRAPE].. ◆ https://yandex.ru/maps/213/moscow/?ll=37.617700,...л., 2/32, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 0.09s 
[2026-06-06 19:07:39.396] [COMPLETE] ● https://yandex.ru/maps/213/moscow/?ll=37.617700,...л., 2/32, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 3.22s 
[2026-06-06 19:07:42.482] [FETCH]... ↓ https://yandex.ru/maps/213/moscow/?ll=37.617700,...., 15/10, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 2.79s 
[2026-06-06 19:07:42.552] [SCRAPE].. ◆ https://yandex.ru/maps/213/moscow/?ll=37.617700,...., 15/10, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 0.06s 
[2026-06-06 19:07:42.661] [COMPLETE] ● https://yandex.ru/maps/213/moscow/?ll=37.617700,...., 15/10, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 2.97s 
[2026-06-06 19:07:45.677] [FETCH]... ↓ https://yandex.ru/maps/213/moscow/?ll=37.617700,...., 15/10, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 2.72s 
[2026-06-06 19:07:45.766] [SCRAPE].. ◆ https://yandex.ru/maps/213/moscow/?ll=37.617700,...., 15/10, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 0.08s 
[2026-06-06 19:07:45.888] [COMPLETE] ● https://yandex.ru/maps/213/moscow/?ll=37.617700,...., 15/10, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 2.93s 
[2026-06-06 19:07:48.912] [FETCH]... ↓ https://yandex.ru/maps/213/moscow/?ll=37.617700,...кинская,, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 2.74s 
[2026-06-06 19:07:48.990] [SCRAPE].. ◆ https://yandex.ru/maps/213/moscow/?ll=37.617700,...кинская,, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 0.07s 
